"","ISO","Year","Infant mortality rate","Under 5 mortality rate","Neonatal mortality rate","Maternal mortality rate"
"155","FRA",2000,4.1,5.4,2.8,10
"156","FRA",2019,3.4,4.3,2.6,NA
"157","FRO",2000,NA,NA,NA,NA
"158","FRO",2019,NA,NA,NA,NA
"159","FSM",2000,30.8,37.8,20,154
"160","FSM",2019,21.5,25.4,13.3,NA
"161","GAB",2000,53.3,82.9,26.9,380
"162","GAB",2019,31.5,43,20.1,NA
"163","GBR",2000,5.6,6.5,3.8,10
"164","GBR",2019,3.7,4.3,2.8,NA
"165","GEO",2000,31.9,36.6,22.8,31
"166","GEO",2019,8.4,9.5,5.2,NA
"167","GHA",2000,64.3,99.7,35.8,484
"168","GHA",2019,34,46.4,23.5,NA
"169","GIB",2000,NA,NA,NA,NA
"170","GIB",2019,NA,NA,NA,NA
"171","GIN",2000,99.9,164.2,45.5,1020
"172","GIN",2019,63.4,98,30.3,NA
"173","GMB",2000,61.6,113.4,40.6,932
"174","GMB",2019,35.6,51.2,26.4,NA
"175","GNB",2000,105,173.8,55.3,1210
"176","GNB",2019,53,79.6,35.9,NA
"177","GNQ",2000,107.1,155.7,44.3,454
"178","GNQ",2019,60,81.2,29.2,NA
"179","GRC",2000,5.6,6.4,3.9,3
"180","GRC",2019,3.7,4.2,2.5,NA
"181","GRD",2000,12.9,15.5,8,38
"182","GRD",2019,14.7,16.5,11.1,NA
"183","GRL",2000,NA,NA,NA,NA
"184","GRL",2019,NA,NA,NA,NA
"185","GTM",2000,41,52.1,21.3,161
"186","GTM",2019,20.7,24.5,11.5,NA
"187","GUM",2000,NA,NA,NA,NA
"188","GUM",2019,NA,NA,NA,NA
"189","GUY",2000,37,46.4,27,231
"190","GUY",2019,24.5,29.3,17.9,NA
"191",NA,2000,6.5,7.8,4.2,13
"192",NA,2019,4.2,5,2.8,NA
"193","HKG",2000,NA,NA,NA,NA
"194","HKG",2019,NA,NA,NA,NA
"195","HND",2000,30.3,37,17.7,85
"196","HND",2019,14.4,16.8,9.1,NA
"197",NA,2000,88.55249366,144.4562455,40.86757084,835
"198",NA,2019,46.91232141,66.35849066,26.34180732,NA
"199","HRV",2000,7.2,8.3,5.5,11
"200","HRV",2019,3.9,4.6,3,NA
"201","HTI",2000,74.5,103.9,29.8,437
"202","HTI",2019,47.8,62.2,25.2,NA
"203","HUN",2000,8.7,10.1,5.8,16
"204","HUN",2019,3.4,4.1,2.2,NA
"205",NA,2000,43.79181376,58.04165105,28.30285208,199
"206",NA,2019,17.90499767,21.97230432,12.36812896,NA
"207",NA,2000,57.51613387,82.7781251,33.10187205,377
"208",NA,2019,30.37654049,40.83055818,18.80577864,NA
"209",NA,2000,84.10465179,130.7008039,42.39915069,720
"210",NA,2019,48.8296601,68.7335706,28.33104117,NA
"211",NA,2000,89.21087928,135.0756269,46.0740297,717
"212",NA,2019,58.57198168,83.93001099,34.28754532,NA
"213","IDN",2000,41,52.2,22.8,272
"214","IDN",2019,20.2,23.8,12.2,NA
"215",NA,2000,81.56870482,128.5281002,40.57406587,722
"216",NA,2019,43.7766524,60.85169872,25.24160697,NA
"217","IMN",2000,NA,NA,NA,NA
"218","IMN",2019,NA,NA,NA,NA
"219","IND",2000,66.7,91.7,44.7,370
"220","IND",2019,28.3,34.4,21.4,NA
"221",NA,2000,NA,NA,NA,NA
"222",NA,2019,NA,NA,NA,NA
"223","IRL",2000,6,7.1,4,7
"224","IRL",2019,2.7,3.2,2.1,NA
"225","IRN",2000,29.7,36.2,19.5,48
"226","IRN",2019,11.5,13.4,8.6,NA
"227","IRQ",2000,35.6,44.5,23.9,79
"228","IRQ",2019,22,26.1,14.9,NA
"229","ISL",2000,3.2,4.1,2.1,6
"230","ISL",2019,1.6,2,1,NA
"231","ISR",2000,5.6,6.9,3.6,7
"232","ISR",2019,3,3.6,1.9,NA
"233","ITA",2000,4.7,5.6,3.5,4
"234","ITA",2019,2.6,3,1.8,NA
"235","JAM",2000,18.9,22.2,17,77
"236","JAM",2019,11.8,13.7,9.6,NA
"237","JOR",2000,22.5,26.8,16,70
"238","JOR",2019,13.3,15.5,9.1,NA
"239","JPN",2000,3.3,4.5,1.8,9
"240","JPN",2019,1.8,2.5,0.9,NA
"241","KAZ",2000,36.7,42.5,23.9,61
"242","KAZ",2019,9,10.1,4.7,NA
"243","KEN",2000,59.9,98.5,28.2,708
"244","KEN",2019,32,43,21,NA
"245","KGZ",2000,42.5,49.8,20.6,79
"246","KGZ",2019,16.4,18.3,12.2,NA
"247","KHM",2000,79.2,106.3,35.2,488
"248","KHM",2019,22.9,26.6,13.8,NA
"249","KIR",2000,51.7,68.1,28,136
"250","KIR",2019,40.3,51.2,21.9,NA
"251","KNA",2000,19.8,23.8,16.6,NA
"252","KNA",2019,12.9,15.4,10.3,NA
"253","KOR",2000,6.5,7.5,3.4,17
"254","KOR",2019,2.7,3.1,1.5,NA
"255","KWT",2000,10.7,12.4,6.6,10
"256","KWT",2019,7.5,8.8,4.9,NA
"257",NA,2000,28.63435139,34.53067239,16.76799453,97
"258",NA,2019,14.04537177,16.4681102,9.207410123,NA
"259","LAO",2000,76.5,107.2,38.2,544
"260","LAO",2019,36.5,45.7,22.2,NA
"261","LBN",2000,17,19.9,11.7,28
"262","LBN",2019,6.2,7.2,4.1,NA
"263","LBR",2000,127.9,189.7,48.1,894
"264","LBR",2019,59.5,80.4,31.1,NA
"265","LBY",2000,24.1,28.1,15.1,70
"266","LBY",2019,9.9,11.5,6.2,NA
"267","LCA",2000,15.6,18.4,11.4,86
"268","LCA",2019,21.6,24,12.7,NA
"269",NA,2000,27.5,33.2,16.2,96
"270",NA,2019,14.2,16.6,9.4,NA
"271",NA,2000,85.24020111,135.4934107,41.9771002,763
"272",NA,2019,44.77142153,62.67344302,25.67307445,NA
"273",NA,2000,89.2,145.2,41.8,845
"274",NA,2019,48.2,68.2,27,NA
"275","LIE",2000,NA,NA,NA,NA
"276","LIE",2019,NA,NA,NA,NA
"277","LKA",2000,14.2,16.5,9.7,56
"278","LKA",2019,6.2,7.2,4.2,NA
"279",NA,2000,65.4,93.2,38.9,422
"280",NA,2019,34.9,46.4,22.5,NA
"281",NA,2000,57.96637283,83.45614185,33.36023506,379
"282",NA,2019,30.51231811,41.03338532,18.88550345,NA
"283","LSO",2000,70,106.9,39.6,614
"284","LSO",2019,71.4,90.9,44.8,NA
"285",NA,2000,27.61762013,33.53700668,18.81336847,62
"286",NA,2019,8.007919717,9.96841842,5.12971021,NA
"287","LTU",2000,8.6,10.7,4.5,17
"288","LTU",2019,2.9,3.6,2,NA
"289","LUX",2000,3.7,4.5,2.3,10
"290","LUX",2019,2.3,2.8,1.7,NA
"291","LVA",2000,11.5,14.2,7.1,34
"292","LVA",2019,3.5,4.1,2.3,NA
"293","MAC",2000,NA,NA,NA,NA
"294","MAC",2019,NA,NA,NA,NA
"295","MAF",2000,NA,NA,NA,NA
"296","MAF",2019,NA,NA,NA,NA
"297","MAR",2000,43.9,52.3,28.4,188
"298","MAR",2019,16.7,19.5,12,NA
"299","MCO",2000,4.2,5.2,2.8,NA
"300","MCO",2019,2.5,3.1,1.7,NA
"301","MDA",2000,26.2,31.5,20.4,44
"302","MDA",2019,12.7,14.8,10.8,NA
"303","MDG",2000,67.5,105.4,30.7,559
"304","MDG",2019,37.2,51.9,20.7,NA
"305","MDV",2000,31.7,39,22.4,125
"306","MDV",2019,6,7,4.5,NA
"307",NA,2000,34.4,42.9,21.2,96
"308",NA,2019,18.2,21.9,12.1,NA
"309","MEX",2000,23.8,28.4,14.4,55
"310","MEX",2019,12.2,14.1,8.6,NA
"311","MHL",2000,33.9,42,18.8,NA
